,itr,sigma,Fusion_M,Fusion_R
157,7.0,0.5,0.669,0.4754754754754755
158,7.0,0.55,0.587,0.3833833833833834
159,7.0,0.6000000000000001,0.551,0.35735735735735735
160,7.0,0.65,0.476,0.2872872872872873
161,7.0,0.7000000000000001,0.363,0.24824824824824826
162,7.0,0.75,0.393,0.27127127127127126
163,7.0,0.8,0.295,0.1831831831831832
164,7.0,0.8500000000000001,0.318,0.2092092092092092
165,7.0,0.9,0.384,0.2602602602602603
166,7.0,0.9500000000000001,0.254,0.14114114114114115
167,7.0,1.0,0.241,0.11411411411411411
168,8.0,0.0,0.938,0.8828828828828829
169,8.0,0.05,0.933,0.8698698698698699
170,8.0,0.1,0.948,0.9009009009009009
171,8.0,0.15000000000000002,0.941,0.8858858858858859
172,8.0,0.2,0.906,0.8218218218218218
173,8.0,0.25,0.821,0.6976976976976977
174,8.0,0.30000000000000004,0.805,0.6666666666666666
175,8.0,0.35000000000000003,0.789,0.6406406406406406
176,8.0,0.4,0.714,0.5355355355355356
177,8.0,0.45,0.745,0.5825825825825826
178,8.0,0.5,0.614,0.42242242242242245
179,8.0,0.55,0.687,0.5005005005005005
180,8.0,0.6000000000000001,0.496,0.33933933933933935
181,8.0,0.65,0.491,0.3073073073073073
182,8.0,0.7000000000000001,0.33,0.2072072072072072
183,8.0,0.75,0.356,0.23523523523523523
184,8.0,0.8,0.289,0.17317317317317318
185,8.0,0.8500000000000001,0.344,0.2222222222222222
186,8.0,0.9,0.297,0.1841841841841842
187,8.0,0.9500000000000001,0.22,0.0920920920920921
188,8.0,1.0,0.284,0.17617617617617617
189,9.0,0.0,0.981,0.963963963963964
190,9.0,0.05,0.947,0.8978978978978979
191,9.0,0.1,0.891,0.7917917917917918
192,9.0,0.15000000000000002,0.924,0.8538538538538538
193,9.0,0.2,0.843,0.7277277277277278
194,9.0,0.25,0.867,0.7547547547547547
195,9.0,0.30000000000000004,0.852,0.7397397397397397
196,9.0,0.35000000000000003,0.788,0.6376376376376376
197,9.0,0.4,0.793,0.6536536536536537
198,9.0,0.45,0.766,0.6076076076076076
199,9.0,0.5,0.702,0.5075075075075075
200,9.0,0.55,0.555,0.4044044044044044
201,9.0,0.6000000000000001,0.474,0.3073073073073073
202,9.0,0.65,0.476,0.2922922922922923
203,9.0,0.7000000000000001,0.415,0.25725725725725723
204,9.0,0.75,0.394,0.27127127127127126
205,9.0,0.8,0.321,0.2042042042042042
206,9.0,0.8500000000000001,0.283,0.16116116116116116
207,9.0,0.9,0.346,0.24224224224224225
208,9.0,0.9500000000000001,0.273,0.15215215215215216
209,9.0,1.0,0.276,0.15415415415415415
